BSUP-ANCH-ADV-FR-1-Red-180,,988,,,http://www.materialtree.com/1-0-sq-mm-red-anchor-advanced-fr-power-wires-180-meters-pack,Anchor Roma,1.0 Sq mm. Red Anchor Advanced FR Power Wires (180 Meters Pack),,, Standard Code   IS 694  Conductor Area (Sq mm)   1.0 Sq mm.  Family   Wires  Thickness   2.8  mm. Approximate Diameter  Unit   Coil  Color   Red  Brand / Manufacturer   Anchor Roma  Weightment   No  Shipping   No  Unloading   No  Warranty Summary   No ', Per Coil,,,BuildSupplies',1320 ,1.0 Sq mm. Red Anchor Advanced FR Power Wires (180 Meters Pack)'
BSUP-VGUA-FRLS-1.5-Black-90,,4527,,,http://www.materialtree.com/1-5-sq-mm-black-v-guard-pvc-frls-power-wires-90-meters-pack,V-Guard,1.5 Sq mm. Black V-Guard-PVC FRLS Power Wires (90 Meters Pack),,, Standard Code   IS 7098  Conductor Area (Sq mm)   1.5 Sq mm.  Family   Wires  Thickness   3.2  mm. Approximate Diameter  Unit   Coil  Color   Black  Brand / Manufacturer   V-Guard  Weightment   No  Shipping   No  Unloading   No  Warranty Summary   No ', Per Coil,,,BuildSupplies',1260 ,1.5 Sq mm. Black V-Guard-PVC FRLS Power Wires (90 Meters Pack)'
BSUP-VGUA-FRLS-1.5-Green-90,,4529,,,http://www.materialtree.com/1-5-sq-mm-green-v-guard-pvc-frls-power-wires-90-meters-pack,V-Guard,1.5 Sq mm. Green V-Guard-PVC FRLS Power Wires (90 Meters Pack),,, Standard Code   IS 7098  Conductor Area (Sq mm)   1.5 Sq mm.  Family   Wires  Thickness   3.2  mm. Approximate Diameter  Unit   Coil  Color   No  Brand / Manufacturer   V-Guard  Weightment   No  Shipping   No  Unloading   No  Warranty Summary   No ', Per Coil,,,BuildSupplies',1260 ,1.5 Sq mm. Green V-Guard-PVC FRLS Power Wires (90 Meters Pack)'
BSUP-VGUA-FR-1.5-Yellow-90,,4481,,,http://www.materialtree.com/1-5-sq-mm-yellow-v-guard-pvc-fr-power-wires-90-meters-pack,V-Guard,1.5 Sq mm. Yellow V-Guard-PVC FR Power Wires (90 Meters Pack),,, Standard Code   IS 7098  Conductor Area (Sq mm)   1.5 Sq mm.  Family   Wires  Thickness   3.2  mm. Approximate Diameter  Unit   Coil  Color   Yellow  Brand / Manufacturer   V-Guard  Weightment   No  Shipping   No  Unloading   No  Warranty Summary   No ', Per Coil,,,BuildSupplies',1165 ,1.5 Sq mm. Yellow V-Guard-PVC FR Power Wires (90 Meters Pack)'
BSUP-VGUA-FRLS-1.5-Blue-90,,4528,,,http://www.materialtree.com/1-5-sq-mm-blue-v-guard-pvc-frls-power-wires-90-meters-pack,V-Guard,1.5 Sq mm. Blue V-Guard-PVC FRLS Power Wires (90 Meters Pack),,, Standard Code   IS 7098  Conductor Area (Sq mm)   1.5 Sq mm.  Family   Wires  Thickness   3.2  mm. Approximate Diameter  Unit   Coil  Color   Blue  Brand / Manufacturer   V-Guard  Weightment   No  Shipping   No  Unloading   No  Warranty Summary   No ', Per Coil,,,BuildSupplies',1260 ,1.5 Sq mm. Blue V-Guard-PVC FRLS Power Wires (90 Meters Pack)'
BSUP-ANCH-FIR-FRLS-1-Red-180,,993,,,http://www.materialtree.com/1-0-sq-mm-red-anchor-fireguard-frls-power-wires-180-meters-pack,Anchor Roma,1.0 Sq mm. Red Anchor Fireguard FRLS Power Wires (180 Meters Pack),,, Standard Code   IS 694  Conductor Area (Sq mm)   1.0 Sq mm.  Family   Wires  Thickness   2.8  mm. Approximate Diameter  Unit   Coil  Color   Red  Brand / Manufacturer   Anchor Roma  Weightment   No  Shipping   No  Unloading   No  Warranty Summary   No ', Per Coil,,,BuildSupplies',1424 ,1.0 Sq mm. Red Anchor Fireguard FRLS Power Wires (180 Meters Pack)'
BSUP-ANCH-FIR-FRLS-1-Yellow-180,,1109,,,http://www.materialtree.com/1-0-sq-mm-yellow-anchor-fireguard-frls-power-wires-180-meters-pack,Anchor Roma,1.0 Sq mm. Yellow Anchor Fireguard FRLS Power Wires (180 Meters Pack),,, Standard Code   IS 694  Conductor Area (Sq mm)   1.0 Sq mm.  Family   Wires  Thickness   2.8  mm. Approximate Diameter  Unit   Coil  Color   No  Brand / Manufacturer   Anchor Roma  Weightment   No  Shipping   No  Unloading   No  Warranty Summary   No ', Per Coil,,,BuildSupplies',1424 ,1.0 Sq mm. Yellow Anchor Fireguard FRLS Power Wires (180 Meters Pack)'
BSUP-ANCH-ADV-FR-1-Black-180,,1046,,,http://www.materialtree.com/1-0-sq-mm-black-anchor-advanced-fr-power-wires-180-meters-pack,Anchor Roma,1.0 Sq mm. Black Anchor Advanced FR Power Wires (180 Meters Pack),,, Standard Code   IS 694  Conductor Area (Sq mm)   1.0 Sq mm.  Family   Wires  Thickness   2.8  mm. Approximate Diameter  Unit   Coil  Color   Black  Brand / Manufacturer   Anchor Roma  Weightment   No  Shipping   No  Unloading   No  Warranty Summary   No ', Per Coil,,,BuildSupplies',1320 ,1.0 Sq mm. Black Anchor Advanced FR Power Wires (180 Meters Pack)'
BSUP-ANCH-FIR-FRLS-1-Green-180,,1022,,,http://www.materialtree.com/1-0-sq-mm-green-anchor-fireguard-frls-power-wires-180-meters-pack,Anchor Roma,1.0 Sq mm. Green Anchor Fireguard FRLS Power Wires (180 Meters Pack),,, Standard Code   IS 694  Conductor Area (Sq mm)   1.0 Sq mm.  Family   Wires  Thickness   2.8  mm. Approximate Diameter  Unit   Coil  Color   No  Brand / Manufacturer   Anchor Roma  Weightment   No  Shipping   No  Unloading   No  Warranty Summary   No ', Per Coil,,,BuildSupplies',1424 ,1.0 Sq mm. Green Anchor Fireguard FRLS Power Wires (180 Meters Pack)'
BSUP-ANCH-ADV-FR-1-Blue-180,,1075,,,http://www.materialtree.com/1-0-sq-mm-blue-anchor-advanced-fr-power-wires-180-meters-pack,Anchor Roma,1.0 Sq mm. Blue Anchor Advanced FR Power Wires (180 Meters Pack),,, Standard Code   IS 694  Conductor Area (Sq mm)   1.0 Sq mm.  Family   Wires  Thickness   2.8  mm. Approximate Diameter  Unit   Coil  Color   Blue  Brand / Manufacturer   Anchor Roma  Weightment   No  Shipping   No  Unloading   No  Warranty Summary   No ', Per Coil,,,BuildSupplies',1320 ,1.0 Sq mm. Blue Anchor Advanced FR Power Wires (180 Meters Pack)'
BSUP-ANCH-ADV-FR-1-Yellow-180,,1104,,,http://www.materialtree.com/1-0-sq-mm-yellow-anchor-advanced-fr-power-wires-180-meters-pack,Anchor Roma,1.0 Sq mm. Yellow Anchor Advanced FR Power Wires (180 Meters Pack),,, Standard Code   IS 694  Conductor Area (Sq mm)   1.0 Sq mm.  Family   Wires  Thickness   2.8  mm. Approximate Diameter  Unit   Coil  Color   No  Brand / Manufacturer   Anchor Roma  Weightment   No  Shipping   No  Unloading   No  Warranty Summary   No ', Per Coil,,,BuildSupplies',1320 ,1.0 Sq mm. Yellow Anchor Advanced FR Power Wires (180 Meters Pack)'
BSUP-ANCH-FIR-FRLS-1-Blue-180,,1080,,,http://www.materialtree.com/1-0-sq-mm-blue-anchor-fireguard-frls-power-wires-180-meters-pack,Anchor Roma,1.0 Sq mm. Blue Anchor Fireguard FRLS Power Wires (180 Meters Pack),,, Standard Code   IS 694  Conductor Area (Sq mm)   1.0 Sq mm.  Family   Wires  Thickness   2.8  mm. Approximate Diameter  Unit   Coil  Color   Blue  Brand / Manufacturer   Anchor Roma  Weightment   No  Shipping   No  Unloading   No  Warranty Summary   No ', Per Coil,,,BuildSupplies',1424 ,1.0 Sq mm. Blue Anchor Fireguard FRLS Power Wires (180 Meters Pack)'
BSUP-ANCH-FIR-FRLS-1-Black-180,,1051,,,http://www.materialtree.com/1-0-sq-mm-black-anchor-fireguard-frls-power-wires-180-meters-pack,Anchor Roma,1.0 Sq mm. Black Anchor Fireguard FRLS Power Wires (180 Meters Pack),,, Standard Code   IS 694  Conductor Area (Sq mm)   1.0 Sq mm.  Family   Wires  Thickness   2.8  mm. Approximate Diameter  Unit   Coil  Color   Black  Brand / Manufacturer   Anchor Roma  Weightment   No  Shipping   No  Unloading   No  Warranty Summary   No ', Per Coil,,,BuildSupplies',1424 ,1.0 Sq mm. Black Anchor Fireguard FRLS Power Wires (180 Meters Pack)'
BSUPPFRLSWCG1,,3225,,,http://www.materialtree.com/1-0-sq-mm-green-color-polycab-frls-wire-cables,Polycab,1.0 Sq. mm - Green Color -Polycab FRLS Wire Cables,,, Standard Code   IS 694 : 1990  Conductor Area (Sq mm)   No  Family   Wires  Thickness   0.3 MM  Unit   Coil  Color   Green  Brand / Manufacturer   Polycab  Weightment   No  Shipping   No  Unloading   No  Warranty Summary   No ', Per Coil,,,BuildSupplies',1506 ,1.0 Sq. mm - Green Color -Polycab FRLS Wire Cables'
BSUP-ANCH-ADV-FR-2.5-Red-90,,972,,,http://www.materialtree.com/2-5-sq-mm-red-anchor-advanced-fr-power-wires-90-meters-pack,Anchor Roma,2.5 Sq mm. Red Anchor Advanced FR Power Wires (90 Meters Pack),,, Standard Code   IS 694  Conductor Area (Sq mm)   2.5 Sq mm.  Family   Wires  Thickness   3.8  mm. Approximate Diameter  Unit   Coil  Color   Red  Brand / Manufacturer   Anchor Roma  Weightment   No  Shipping   No  Unloading   No  Warranty Summary   No ', Per Coil,,,BuildSupplies',1564 ,2.5 Sq mm. Red Anchor Advanced FR Power Wires (90 Meters Pack)'
BSUPPFRLSWCB1,,3223,,,http://www.materialtree.com/1-0-sq-mm-blue-color-polycab-frls-wire-cables,Polycab,1.0 Sq. mm - Blue Color -Polycab FRLS Wire Cables,,, Standard Code   IS 694 : 1990  Conductor Area (Sq mm)   No  Family   Wires  Thickness   0.3 MM  Unit   Coil  Color   Blue  Brand / Manufacturer   Polycab  Weightment   No  Shipping   No  Unloading   No  Warranty Summary   No ', Per Coil,,,BuildSupplies',1506 ,1.0 Sq. mm - Blue Color -Polycab FRLS Wire Cables'
BSUP-ANCH-ADV-FR-2.5-Black-90,,1030,,,http://www.materialtree.com/2-5-sq-mm-black-anchor-advanced-fr-power-wires-90-meters-pack,Anchor Roma,2.5 Sq mm. Black Anchor Advanced FR Power Wires (90 Meters Pack),,, Standard Code   IS 694  Conductor Area (Sq mm)   2.5 Sq mm.  Family   Wires  Thickness   3.8  mm. Approximate Diameter  Unit   Coil  Color   Black  Brand / Manufacturer   Anchor Roma  Weightment   No  Shipping   No  Unloading   No  Warranty Summary   No ', Per Coil,,,BuildSupplies',1564 ,2.5 Sq mm. Black Anchor Advanced FR Power Wires (90 Meters Pack)'
BSUP-ANCH-ADV-FR-2.5-Blue-90,,1059,,,http://www.materialtree.com/2-5-sq-mm-blue-anchor-advanced-fr-power-wires-90-meters-pack,Anchor Roma,2.5 Sq mm. Blue Anchor Advanced FR Power Wires (90 Meters Pack),,, Standard Code   IS 694  Conductor Area (Sq mm)   2.5 Sq mm.  Family   Wires  Thickness   3.8  mm. Approximate Diameter  Unit   Coil  Color   Blue  Brand / Manufacturer   Anchor Roma  Weightment   No  Shipping   No  Unloading   No  Warranty Summary   No ', Per Coil,,,BuildSupplies',1564 ,2.5 Sq mm. Blue Anchor Advanced FR Power Wires (90 Meters Pack)'
BSUPPFRLSWCY1,,3222,,,http://www.materialtree.com/1-0-sq-mm-yellow-color-polycab-frls-wire-cables,Polycab,1.0 Sq. mm - Yellow Color -Polycab FRLS Wire Cables,,, Standard Code   IS 694 : 1990  Conductor Area (Sq mm)   No  Family   Wires  Thickness   0.3 MM  Unit   Coil  Color   Yellow  Brand / Manufacturer   Polycab  Weightment   No  Shipping   No  Unloading   No  Warranty Summary   No ', Per Coil,,,BuildSupplies',1506 ,1.0 Sq. mm - Yellow Color -Polycab FRLS Wire Cables'
BSUPPFRLSWCR1,,3221,,,http://www.materialtree.com/1-0-sq-mm-red-color-polycab-frls-wire-cables,Polycab,1.0 Sq. mm - Red Color -Polycab FRLS Wire Cables,,, Standard Code   IS 694 : 1990  Conductor Area (Sq mm)   No  Family   Wires  Thickness   0.3 MM  Unit   Coil  Color   Red  Brand / Manufacturer   Polycab  Weightment   No  Shipping   No  Unloading   No  Warranty Summary   No ', Per Coil,,,BuildSupplies',1506 ,1.0 Sq. mm - Red Color -Polycab FRLS Wire Cables'
BSUP-ANCH-ADV-FR-2.5-Green-90,,1001,,,http://www.materialtree.com/2-5-sq-mm-green-anchor-advanced-fr-power-wires-90-meters-pack,Anchor Roma,2.5 Sq mm. Green Anchor Advanced FR Power Wires (90 Meters Pack),,, Standard Code   IS 694  Conductor Area (Sq mm)   2.5 Sq mm.  Family   Wires  Thickness   3.8  mm. Approximate Diameter  Unit   Coil  Color   No  Brand / Manufacturer   Anchor Roma  Weightment   No  Shipping   No  Unloading   No  Warranty Summary   No ', Per Coil,,,BuildSupplies',1564 ,2.5 Sq mm. Green Anchor Advanced FR Power Wires (90 Meters Pack)'
BSUPPFRLSWCBL1,,3224,,,http://www.materialtree.com/1-0-sq-mm-black-color-polycab-frls-wire-cables,Polycab,1.0 Sq. mm - Black Color -Polycab FRLS Wire Cables,,, Standard Code   IS 694 : 1990  Conductor Area (Sq mm)   No  Family   Wires  Thickness   0.3 MM  Unit   Coil  Color   Black  Brand / Manufacturer   Polycab  Weightment   No  Shipping   No  Unloading   No  Warranty Summary   No ', Per Coil,,,BuildSupplies',1506 ,1.0 Sq. mm - Black Color -Polycab FRLS Wire Cables'
BSUP-ANCH-FIR-FRLS-2.5-Black-90,,1039,,,http://www.materialtree.com/2-5-sq-mm-black-anchor-fireguard-frls-power-wires-90-meters-pack,Anchor Roma,2.5 Sq mm. Black Anchor Fireguard FRLS Power Wires (90 Meters Pack),,, Standard Code   IS 694  Conductor Area (Sq mm)   2.5 Sq mm.  Family   Wires  Thickness   3.8  mm. Approximate Diameter  Unit   Coil  Color   Black  Brand / Manufacturer   Anchor Roma  Weightment   No  Shipping   No  Unloading   No  Warranty Summary   No ', Per Coil,,,BuildSupplies',1635 ,2.5 Sq mm. Black Anchor Fireguard FRLS Power Wires (90 Meters Pack)'
BSUP-ANCH-FIR-FRLS-2.5-Red-90,,981,,,http://www.materialtree.com/2-5-sq-mm-red-anchor-fireguard-frls-power-wires-90-meters-pack,Anchor Roma,2.5 Sq mm. Red Anchor Fireguard FRLS Power Wires (90 Meters Pack),,, Standard Code   IS 694  Conductor Area (Sq mm)   2.5 Sq mm.  Family   Wires  Thickness   3.8  mm. Approximate Diameter  Unit   Coil  Color   Red  Brand / Manufacturer   Anchor Roma  Weightment   No  Shipping   No  Unloading   No  Warranty Summary   No ', Per Coil,,,BuildSupplies',1635 ,2.5 Sq mm. Red Anchor Fireguard FRLS Power Wires (90 Meters Pack)'
BSUP-ANCH-FIR-FRLS-2.5-Blue-90,,1068,,,http://www.materialtree.com/2-5-sq-mm-blue-anchor-fireguard-frls-power-wires-90-meters-pack,Anchor Roma,2.5 Sq mm. Blue Anchor Fireguard FRLS Power Wires (90 Meters Pack),,, Standard Code   IS 694  Conductor Area (Sq mm)   2.5 Sq mm.  Family   Wires  Thickness   3.8  mm. Approximate Diameter  Unit   Coil  Color   Blue  Brand / Manufacturer   Anchor Roma  Weightment   No  Shipping   No  Unloading   No  Warranty Summary   No ', Per Coil,,,BuildSupplies',1635 ,2.5 Sq mm. Blue Anchor Fireguard FRLS Power Wires (90 Meters Pack)'
BSUP-ANCH-FIR-FRLS-2.5-Yellow-90,,1097,,,http://www.materialtree.com/2-5-sq-mm-yellow-anchor-fireguard-frls-power-wires-90-meters-pack,Anchor Roma,2.5 Sq mm. Yellow Anchor Fireguard FRLS Power Wires (90 Meters Pack),,, Standard Code   IS 694  Conductor Area (Sq mm)   2.5 Sq mm.  Family   Wires  Thickness   3.8  mm. Approximate Diameter  Unit   Coil  Color   No  Brand / Manufacturer   Anchor Roma  Weightment   No  Shipping   No  Unloading   No  Warranty Summary   No ', Per Coil,,,BuildSupplies',1635 ,2.5 Sq mm. Yellow Anchor Fireguard FRLS Power Wires (90 Meters Pack)'
BSUPPFRLSWCY1.5,,3227,,,http://www.materialtree.com/1-5-sq-mm-yellow-color-polycab-frls-wire-cables,Polycab,1.5 Sq. mm - Yellow Color -Polycab FRLS Wire Cables,,, Standard Code   IS 694 : 1990  Conductor Area (Sq mm)   No  Family   Wires  Thickness   0.3 MM  Unit   Coil  Color   Yellow  Brand / Manufacturer   Polycab  Weightment   No  Shipping   No  Unloading   No  Warranty Summary   No ', Per Coil,,,BuildSupplies',2293 ,1.5 Sq. mm - Yellow Color -Polycab FRLS Wire Cables'
BSUP-ANCH-ADV-FR-2.5-Yellow-90,,1088,,,http://www.materialtree.com/2-5-sq-mm-yellow-anchor-advanced-fr-power-wires-90-meters-pack,Anchor Roma,2.5 Sq mm. Yellow Anchor Advanced FR Power Wires (90 Meters Pack),,, Standard Code   IS 694  Conductor Area (Sq mm)   2.5 Sq mm.  Family   Wires  Thickness   3.8  mm. Approximate Diameter  Unit   Coil  Color   No  Brand / Manufacturer   Anchor Roma  Weightment   No  Shipping   No  Unloading   No  Warranty Summary   No ', Per Coil,,,BuildSupplies',1564 ,2.5 Sq mm. Yellow Anchor Advanced FR Power Wires (90 Meters Pack)'
BSUPPFRLSWCR1.5,,3226,,,http://www.materialtree.com/1-5-sq-mm-red-color-polycab-frls-wire-cables,Polycab,1.5 Sq. mm - Red Color -Polycab FRLS Wire Cables,,, Standard Code   IS 694 : 1990  Conductor Area (Sq mm)   No  Family   Wires  Thickness   0.3 MM  Unit   Coil  Color   Red  Brand / Manufacturer   Polycab  Weightment   No  Shipping   No  Unloading   No  Warranty Summary   No ', Per Coil,,,BuildSupplies',2293 ,1.5 Sq. mm - Red Color -Polycab FRLS Wire Cables'
BSUP-ANCH-FIR-FRLS-2.5-Green-90,,1010,,,http://www.materialtree.com/2-5-sq-mm-green-anchor-fireguard-frls-power-wires-90-meters-pack,Anchor Roma,2.5 Sq mm. Green Anchor Fireguard FRLS Power Wires (90 Meters Pack),,, Standard Code   IS 694  Conductor Area (Sq mm)   2.5 Sq mm.  Family   Wires  Thickness   3.8  mm. Approximate Diameter  Unit   Coil  Color   No  Brand / Manufacturer   Anchor Roma  Weightment   No  Shipping   No  Unloading   No  Warranty Summary   No ', Per Coil,,,BuildSupplies',1635 ,2.5 Sq mm. Green Anchor Fireguard FRLS Power Wires (90 Meters Pack)'
BSUP-ANCH-FIR-FRLS-4-Yellow-90,,1098,,,http://www.materialtree.com/4-0-sq-mm-yellow-anchor-fireguard-frls-power-wires-90-meters-pack,Anchor Roma,4.0 Sq mm. Yellow Anchor Fireguard FRLS Power Wires (90 Meters Pack),,, Standard Code   IS 694  Conductor Area (Sq mm)   4.0 Sq mm.  Family   Wires  Thickness   4.3  mm. Approximate Diameter  Unit   Coil  Color   No  Brand / Manufacturer   Anchor Roma  Weightment   No  Shipping   No  Unloading   No  Warranty Summary   No ', Per Coil,,,BuildSupplies',2370 ,4.0 Sq mm. Yellow Anchor Fireguard FRLS Power Wires (90 Meters Pack)'
BSUPPFRLSWCBL1.5,,3229,,,http://www.materialtree.com/1-5-sq-mm-black-color-polycab-frls-wire-cables,Polycab,1.5 Sq. mm - Black Color -Polycab FRLS Wire Cables,,, Standard Code   IS 694 : 1990  Conductor Area (Sq mm)   No  Family   Wires  Thickness   0.3 MM  Unit   Coil  Color   Black  Brand / Manufacturer   Polycab  Weightment   No  Shipping   No  Unloading   No  Warranty Summary   No ', Per Coil,,,BuildSupplies',2293 ,1.5 Sq. mm - Black Color -Polycab FRLS Wire Cables'
BSUP-ANCH-FIR-FRLS-4-Green-90,,1011,,,http://www.materialtree.com/4-0-sq-mm-green-anchor-fireguard-frls-power-wires-90-meters-pack,Anchor Roma,4.0 Sq mm. Green Anchor Fireguard FRLS Power Wires (90 Meters Pack),,, Standard Code   IS 694  Conductor Area (Sq mm)   4.0 Sq mm.  Family   Wires  Thickness   4.3  mm. Approximate Diameter  Unit   Coil  Color   No  Brand / Manufacturer   Anchor Roma  Weightment   No  Shipping   No  Unloading   No  Warranty Summary   No ', Per Coil,,,BuildSupplies',2370 ,4.0 Sq mm. Green Anchor Fireguard FRLS Power Wires (90 Meters Pack)'
BSUP-FINO-FR-4-Black-90,,4437,,,http://www.materialtree.com/4-0-sq-mm-black-finolex-pvc-fr-power-wires-90-meters-pack,Finolex,4.0 Sq mm. Black Finolex PVC  FR Power Wires (90 Meters Pack),,, Standard Code   IS:694/1990  Conductor Area (Sq mm)   4.0 Sq mm.  Family   Wires  Thickness   4.3  mm. Approximate Diameter  Unit   Coil  Color   Black  Brand / Manufacturer   Finolex  Weightment   No  Shipping   No  Unloading   No  Warranty Summary   No ', Per Coil,,,BuildSupplies',2418 ,4.0 Sq mm. Black Finolex PVC  FR Power Wires (90 Meters Pack)'
BSUP-ANCH-FIR-FRLS-4-Red-90,,982,,,http://www.materialtree.com/4-0-sq-mm-red-anchor-fireguard-frls-power-wires-90-meters-pack,Anchor Roma,4.0 Sq mm. Red Anchor Fireguard FRLS Power Wires (90 Meters Pack),,, Standard Code   IS 694  Conductor Area (Sq mm)   4.0 Sq mm.  Family   Wires  Thickness   4.3  mm. Approximate Diameter  Unit   Coil  Color   Red  Brand / Manufacturer   Anchor Roma  Weightment   No  Shipping   No  Unloading   No  Warranty Summary   No ', Per Coil,,,BuildSupplies',2370 ,4.0 Sq mm. Red Anchor Fireguard FRLS Power Wires (90 Meters Pack)'
BSUP-ANCH-FIR-FRLS-4-Black-90,,1040,,,http://www.materialtree.com/4-0-sq-mm-black-anchor-fireguard-frls-power-wires-90-meters-pack,Anchor Roma,4.0 Sq mm. Black Anchor Fireguard FRLS Power Wires (90 Meters Pack),,, Standard Code   IS 694  Conductor Area (Sq mm)   4.0 Sq mm.  Family   Wires  Thickness   4.3  mm. Approximate Diameter  Unit   Coil  Color   Black  Brand / Manufacturer   Anchor Roma  Weightment   No  Shipping   No  Unloading   No  Warranty Summary   No ', Per Coil,,,BuildSupplies',2370 ,4.0 Sq mm. Black Anchor Fireguard FRLS Power Wires (90 Meters Pack)'
BSUPPFRLSWCB1.5,,3228,,,http://www.materialtree.com/1-5-sq-mm-blue-color-polycab-frls-wire-cables,Polycab,1.5 Sq. mm - Blue Color -Polycab FRLS Wire Cables,,, Standard Code   IS 694 : 1990  Conductor Area (Sq mm)   No  Family   Wires  Thickness   0.3 MM  Unit   Coil  Color   Blue  Brand / Manufacturer   Polycab  Weightment   No  Shipping   No  Unloading   No  Warranty Summary   No ', Per Coil,,,BuildSupplies',2293 ,1.5 Sq. mm - Blue Color -Polycab FRLS Wire Cables'
BSUPPFRLSWCG1.5,,3230,,,http://www.materialtree.com/1-5-sq-mm-green-color-polycab-frls-wire-cables,Polycab,1.5 Sq. mm - Green Color -Polycab FRLS Wire Cables,,, Standard Code   IS 694 : 1990  Conductor Area (Sq mm)   No  Family   Wires  Thickness   0.3 MM  Unit   Coil  Color   Green  Brand / Manufacturer   Polycab  Weightment   No  Shipping   No  Unloading   No  Warranty Summary   No ', Per Coil,,,BuildSupplies',2293 ,1.5 Sq. mm - Green Color -Polycab FRLS Wire Cables'
BSUP-ANCH-FIR-FRLS-4-Blue-90,,1069,,,http://www.materialtree.com/4-0-sq-mm-blue-anchor-fireguard-frls-power-wires-90-meters-pack,Anchor Roma,4.0 Sq mm. Blue Anchor Fireguard FRLS Power Wires (90 Meters Pack),,, Standard Code   IS 694  Conductor Area (Sq mm)   4.0 Sq mm.  Family   Wires  Thickness   4.3  mm. Approximate Diameter  Unit   Coil  Color   Blue  Brand / Manufacturer   Anchor Roma  Weightment   No  Shipping   No  Unloading   No  Warranty Summary   No ', Per Coil,,,BuildSupplies',2370 ,4.0 Sq mm. Blue Anchor Fireguard FRLS Power Wires (90 Meters Pack)'
BSUP-FINO-FR-4-Yellow-90,,4441,,,http://www.materialtree.com/4-0-sq-mm-yellow-finolex-pvc-fr-power-wires-90-meters-pack,Finolex,4.0 Sq mm. Yellow Finolex PVC  FR Power Wires (90 Meters Pack),,, Standard Code   IS:694/1990  Conductor Area (Sq mm)   4.0 Sq mm.  Family   Wires  Thickness   4.3  mm. Approximate Diameter  Unit   Coil  Color   Yellow  Brand / Manufacturer   Finolex  Weightment   No  Shipping   No  Unloading   No  Warranty Summary   No ', Per Coil,,,BuildSupplies',2418 ,4.0 Sq mm. Yellow Finolex PVC  FR Power Wires (90 Meters Pack)'
BSUP-FINO-FRLS-4-Red-90,,4465,,,http://www.materialtree.com/4-0-sq-mm-red-finolex-pvc-frls-power-wires-90-meters-pack,Finolex,4.0 Sq mm. Red Finolex PVC FRLS Power Wires (90 Meters Pack),,, Standard Code   IS:694/1990  Conductor Area (Sq mm)   4.0 Sq mm.  Family   Wires  Thickness   4.3  mm. Approximate Diameter  Unit   Coil  Color   Red  Brand / Manufacturer   Finolex  Weightment   No  Shipping   No  Unloading   No  Warranty Summary   No ', Per Coil,,,BuildSupplies',2500 ,4.0 Sq mm. Red Finolex PVC FRLS Power Wires (90 Meters Pack)'
BSUP-FINO-FRLS-4-Green-90,,4464,,,http://www.materialtree.com/4-0-sq-mm-green-finolex-pvc-frls-power-wires-90-meters-pack,Finolex,4.0 Sq mm. Green Finolex PVC FRLS Power Wires (90 Meters Pack),,, Standard Code   IS:694/1990  Conductor Area (Sq mm)   4.0 Sq mm.  Family   Wires  Thickness   4.3  mm. Approximate Diameter  Unit   Coil  Color   Green  Brand / Manufacturer   Finolex  Weightment   No  Shipping   No  Unloading   No  Warranty Summary   No ', Per Coil,,,BuildSupplies',2500 ,4.0 Sq mm. Green Finolex PVC FRLS Power Wires (90 Meters Pack)'
BSUP-FINO-FR-4-Blue-90,,4438,,,http://www.materialtree.com/4-0-sq-mm-blue-finolex-pvc-fr-power-wires-90-meters-pack,Finolex,4.0 Sq mm. Blue Finolex PVC  FR Power Wires (90 Meters Pack),,, Standard Code   IS:694/1990  Conductor Area (Sq mm)   4.0 Sq mm.  Family   Wires  Thickness   4.3  mm. Approximate Diameter  Unit   Coil  Color   Blue  Brand / Manufacturer   Finolex  Weightment   No  Shipping   No  Unloading   No  Warranty Summary   No ', Per Coil,,,BuildSupplies',2418 ,4.0 Sq mm. Blue Finolex PVC  FR Power Wires (90 Meters Pack)'
BSUP-FINO-FR-4-Green-90,,4439,,,http://www.materialtree.com/4-0-sq-mm-green-finolex-pvc-fr-power-wires-90-meters-pack,Finolex,4.0 Sq mm. Green Finolex PVC  FR Power Wires (90 Meters Pack),,, Standard Code   IS:694/1990  Conductor Area (Sq mm)   4.0 Sq mm.  Family   Wires  Thickness   4.3  mm. Approximate Diameter  Unit   Coil  Color   Green  Brand / Manufacturer   Finolex  Weightment   No  Shipping   No  Unloading   No  Warranty Summary   No ', Per Coil,,,BuildSupplies',2418 ,4.0 Sq mm. Green Finolex PVC  FR Power Wires (90 Meters Pack)'
BSUP-FINO-FRLS-4-Blue-90,,4463,,,http://www.materialtree.com/4-0-sq-mm-blue-finolex-pvc-frls-power-wires-90-meters-pack,Finolex,4.0 Sq mm. Blue Finolex PVC FRLS Power Wires (90 Meters Pack),,, Standard Code   IS:694/1990  Conductor Area (Sq mm)   4.0 Sq mm.  Family   Wires  Thickness   4.3  mm. Approximate Diameter  Unit   Coil  Color   Blue  Brand / Manufacturer   Finolex  Weightment   No  Shipping   No  Unloading   No  Warranty Summary   No ', Per Coil,,,BuildSupplies',2500 ,4.0 Sq mm. Blue Finolex PVC FRLS Power Wires (90 Meters Pack)'
